,choice,travel_dow,trip_purpose,hh_descr,gender,license,work_status,hh_vehicles,hh_size,hh_bikes,hh_income,education_level,distance,age,departure_time
TGAN,0.1439822332094165,0.024258474768828142,0.11762935942151365,0.04092084037795285,0.03586627574050105,0.025710295036537933,0.11860751155091231,0.11709017998518367,0.11935149680330703,160.07276676315578,0.08436101061701051,0.07838676958886848,-1.160003972736149,24.807387563512364,0.40083943860866356
WGAN_OR_BO,0.13393329269047272,0.006061564949237042,0.12378701602664677,0.05258635211772422,0.03887524810070364,0.050841576962284696,0.14086778239615338,0.14874382292984323,0.15554906770884458,0.07080585787467064,0.08413084259405723,0.07245319193016764,-2.9653903143810325,21.900699379311888,-0.23847351290149277
WGAN_OR_NO,0.316001603125721,0.03437317228097614,0.2705997928989785,0.11153161421357927,0.045385411866657566,0.13427468043215576,0.4212821418507834,0.5202558918900624,0.4447398826822545,0.28969578099049786,0.18697529308700722,0.20133989259579455,-1.5783909395657787,42.68115399753982,-0.0193303241349696
WGAN_OR_OD,0.13652259430307045,0.006057791663282686,0.12784904865297708,0.052980670702500454,0.04028630661116672,0.047267227694034436,0.14780591402267895,0.15056929346847436,0.15692749730542277,0.07207028547078043,0.08346880884308594,0.07784572460695194,-2.9180585242161925,22.877410231265102,-0.20409535904695275
WGAN_WI_BO,0.13088232479580741,0.0055783057296141525,0.09451776504169218,0.028821774883208806,0.036292686585750245,0.0311798318263109,0.08733216631109886,799.9782031013011,0.11946869098923141,559.9718210777211,0.05759256435832105,0.04901561912271468,-2.998342293572108,17.582596004714972,-0.22729017463808887
WGAN_WI_NO,0.12208943499698865,0.005088450012892043,0.10547023228089958,0.03083202393600981,0.03706148905713569,0.04047080182869048,0.10672211976936818,0.11510763095024668,0.11371495893260974,0.038401481711834995,0.06425956522244225,0.06505857382964231,-2.9168569250676484,18.304896163546402,-0.1568300346850755
WGAN_WI_OD,0.12970512398916756,0.005835747385774415,0.09375645429719404,0.027635075493065986,0.03586841459583212,0.03342844398429862,0.0934539159844876,640.044461984916,0.12033683521755212,879.893260184731,0.05654912038522131,0.05252494715042011,-2.895522677896736,19.535122065858488,-0.20194032680407759
WGAN_WO_BO,880.0489484632132,0.007002175881741124,0.1187307389541441,0.06216328064122467,0.04107044380140823,0.07719926424664705,0.1343573153860217,7438.742278348376,3199.5893837678805,7998.243869380489,0.10209119670879008,0.07881676307985663,-1.7172447524994325,29.543474732635545,0.040289805054328554
WGAN_WO_NO,0.20624841214987866,0.005201016419694282,0.14120937909972087,0.06703572065186958,0.04275664863735307,0.1015219568588818,0.18651962375299191,0.1889438231839995,0.18669670381801573,0.0805704390848847,0.10628453233440949,0.11556797189467183,-1.78080240993377,35.11492221395882,0.10687310612426515
WGAN_WO_OD,1359.9641242777052,0.0071040881311741355,0.12162631673195512,0.06136995474568685,0.042210789243565805,0.0763878820179055,0.14961190468845842,7358.753450453382,3519.4927615221764,7998.245407189711,0.10216273517506225,0.07816650474081843,-1.643108817413605,35.696410581981,0.024606759380837673
