,choice,travel_dow,trip_purpose,hh_descr,gender,license,work_status,hh_vehicles,hh_size,hh_bikes,hh_income,education_level,distance,age,departure_time
FULL,0.13208640312263786,0.005264717280415665,0.09833368387157893,0.0334076961637878,0.03907705877161738,0.04403860449425298,0.11184608373458627,0.12580963978842485,0.11806672142011332,0.03389272093912998,0.06142507333314029,0.0659414722284557,-2.4460923005322996,20.307300773398197,-0.18953026067309153
LINEAR,0.14521782637600766,0.00429714318456198,0.14022154870697667,0.05112759900493313,0.04159317861917222,0.041595351216210164,0.14038330682002653,0.15664368589138022,0.15093155159620875,0.04875954365401158,0.10250302104737385,0.09116945671615251,-2.82003023983858,26.063697391467045,0.16204796816163025
NOLINKS,0.4607520339638662,0.00510327248903808,0.37815246496251453,0.18783852642655507,0.05364116159087062,0.33654548667868267,0.7154653590894932,0.4686361299597288,0.5033816381041888,0.19514838101350573,0.2631905008179136,0.3806553400292352,3.4024015861351202,330.1091825239649,0.5503753884919931
PREDICTION,0.2314560138844003,0.0050157593057331695,0.3699974294953512,0.17314513306967416,0.05374417341781723,0.27872225142617735,0.7136870824250586,0.4612865497299461,0.5033814466461172,0.19512008328531705,0.26256830481910165,0.36949576996854594,2.354443422604163,317.2322078637158,0.5475759774446018
TRANSRED,0.1165231684386917,0.005163304571149663,0.10251051896338592,0.05198292905434643,0.036814086216893194,0.03559889146794182,0.11504266736229563,0.13163305806222136,0.13630086831363009,0.04047941377346498,0.07310419567445736,0.0715011965625103,-2.440379670529474,20.2312273749517,-0.13795167609307768
original,-0.1790396742217798,-0.062466134535793305,-0.28913090593315594,-0.09444824940937491,-0.03994861979851283,-0.044501731478002966,-0.28897929999314653,-0.2047328247964323,-0.2364329501177309,-0.20940533956915464,-0.22567249792840416,-0.23612128849102487,-10.962543296978538,-13.485354138320616,-1.7091026749937726
